rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
425,Juan Pablo Añor Acosta,38,4,4.0393478786313715,3.8220271500000003,0.10629862838503609,0.10526315789473684,-0.03934787863137146,1.8999922998693577
426,Dušan Tadić,59,6,6.041622402798566,6.187189892,0.10240037970845027,0.1016949152542373,-0.04162240279856633,2.328724538174688
427,Jeremie Boga,23,3,3.0434901524642535,2.5482090007,0.13232565880279362,0.13043478260869565,-0.04349015246425347,1.6250410188606337
428,Hernán Daniel Santana Trujillo,44,2,2.0442942996117393,2.0584660089,0.04646123408208498,0.045454545454545456,-0.04429429961173925,1.3961783065299382
429,Duván Esteban Zapata Banguera,52,8,8.04554041702582,7.1959504525,0.15472193109665036,0.15384615384615385,-0.045540417025819124,2.6078187948911316
430,Matt Ritchie,79,4,4.046661164611726,4.6373052321,0.051223559045718056,0.05063291139240506,-0.04666116461172631,1.9594327693259148
431,Francisco António Machado Mota de Castro Trincão,20,3,3.048262619907183,2.391296918,0.15241313099535916,0.15,-0.04826261990718317,1.60737903741184
432,Luca Paganini,26,2,2.0521005347210677,1.969788413,0.07892694364311799,0.07692307692307693,-0.05210053472106768,1.3748216289639632
433,Jean-Daniel Akpa Akpro,20,1,1.0567463324855257,1.2426504442,0.052837316624276286,0.05,-0.05674633248552574,1.0004552423394288
434,Khouma El Hadji Babacar,29,4,4.0574461236876616,3.401531439,0.13991193529957455,0.13793103448275862,-0.057446123687661554,1.8680901970056916
435,Sung-Yeung Ki,27,2,2.0577551717135445,2.343406432,0.07621315450790905,0.07407407407407407,-0.057755171713544495,1.3787411500612765
436,Mikel San José Domínguez,29,2,2.063680861991612,2.435320415,0.07116140903419352,0.06896551724137931,-0.06368086199161205,1.3844950068726827
437,Pedro Henrique Konzen Medina da Silva,36,3,3.063899203891683,3.1126184082,0.08510831121921342,0.08333333333333333,-0.0638992038916828,1.6742568252518994
438,Diego Rigonato Rodrigues,35,2,2.067491546120073,2.0986764313,0.05907118703200209,0.05714285714285714,-0.06749154612007313,1.3947624766648015
439,Aleksandar Trajkovski,45,3,3.072356126228085,2.893746503,0.06827458058284633,0.06666666666666667,-0.07235612622808496,1.6919197085880653
440,Adrien Regattin,33,1,1.0737405973215854,0.9897005804,0.03253759385822986,0.030303030303030304,-0.07374059732158544,1.0192171809074073
441,Anderson Hernanes de Carvalho Andrade,33,1,1.0886467096930714,1.003453807,0.03298929423312338,0.030303030303030304,-0.08864670969307142,1.0260277886446765
442,Diego Perotti,41,3,3.099528342010436,3.0461886466,0.07559825224415698,0.07317073170731707,-0.09952834201043581,1.6926929481076058
443,Jordan Ferri,32,2,2.11023779385857,2.154472962,0.06594493105808032,0.0625,-0.11023779385857013,1.4039509635405403
444,Juan Carlos Pérez López,20,2,2.1178860426005524,1.8657724372,0.10589430213002762,0.1,-0.11788604260055235,1.376086471893551
445,Dwight Gayle,22,3,3.1183801601926664,3.10514001,0.1417445527360303,0.13636363636363635,-0.1183801601926664,1.635960500478311
446,Danny Drinkwater,42,2,2.1223046125009386,1.7761880455,0.0505310622024033,0.047619047619047616,-0.1223046125009386,1.419528902880884
447,Ignacio Cases Mora,24,1,1.124648711264943,1.121716812,0.046860362969372626,0.041666666666666664,-0.12464871126494304,1.0353488612260269
448,Antonio Di Gaudio,36,3,3.1274963889341976,3.19926777,0.0868748996926166,0.08333333333333333,-0.12749638893419757,1.6899098951886513
449,Toby Alderweireld,48,4,4.134923245791623,3.6080542828,0.08614423428732548,0.08333333333333333,-0.13492324579162318,1.9438938882938135
450,Jonas Martin,31,2,2.1395545698070295,1.8886979962000001,0.06901788934861386,0.06451612903225806,-0.13955456980702952,1.4113422792691952
451,Isaac Ajayi Success,58,6,6.1422248614646255,5.9106645187,0.10590042864594182,0.10344827586206896,-0.14222486146462554,2.343450578910458
452,Frédéric Bulot,20,1,1.1452093107176244,1.020364049,0.057260465535881225,0.05,-0.14520931071762444,1.0390544222753242
453,Adrien Thomasson,39,2,2.1481035597461315,2.4568809076,0.05507957845502901,0.05128205128205128,-0.14810355974613154,1.4247059069146755
454,Emre Can,33,2,2.1632815680506594,2.306565639,0.06555398691062604,0.06060606060606061,-0.1632815680506594,1.4217840329862577
455,James McClean,31,2,2.1716571444299446,2.1490602425,0.0700534562719337,0.06451612903225806,-0.17165714442994462,1.421099945684676
456,Exequiel Alejandro Palacios,20,2,2.1723061101703407,1.173857841,0.10861530550851703,0.1,-0.1723061101703407,1.3915316806872098
457,Yann Jouffre,38,2,2.17536388245045,2.218960112,0.05724641795922237,0.05263157894736842,-0.17536388245044998,1.4320726561254826
458,Paul Pogba,139,9,9.178974012673823,8.7272139358,0.06603578426384045,0.06474820143884892,-0.17897401267382307,2.927940106117182
459,Ángel Fabián Di María Hernández,137,16,16.180810870626118,12.3311489055,0.11810810854471619,0.11678832116788321,-0.180810870626118,3.7775290738757636
460,Franco Brienza,41,3,3.181196707513354,2.050330163,0.07759016359788669,0.07317073170731707,-0.18119670751335404,1.7129994554991355
461,Souleymane Camara,47,7,7.185590664589848,6.7865699863,0.15288490775723082,0.14893617021276595,-0.1855906645898484,2.46718914934644
462,José María Giménez de Vargas,28,2,2.1869061160718553,2.7740470977,0.07810378985970912,0.07142857142857142,-0.18690611607185526,1.4198945243711825
463,Thomas Mangani,29,2,2.187131085307539,1.8022776919999999,0.07541831328646686,0.06896551724137931,-0.1871310853075392,1.422034228813514
464,Seminlen Doungel,24,2,2.1891845079271905,2.352956055,0.09121602116363293,0.08333333333333333,-0.18918450792719055,1.410494880359729
465,Luca Rigoni,35,4,4.19264434608789,4.367585039,0.119789838459654,0.11428571428571428,-0.19264434608789038,1.9210435073551146
466,Marcos Aoás Corrêa,40,6,6.1939614665845175,5.747059177,0.15484903666461294,0.15,-0.19396146658451752,2.287975633687162
467,Breel-Donald Embolo,29,5,5.195447717086824,5.204791507,0.17915336955471808,0.1724137931034483,-0.1954477170868243,2.0651067169096495
468,Rubén Salvador Pérez Del Mármol,27,1,1.2001551859081414,0.9437042281999999,0.044450192070671905,0.037037037037037035,-0.2001551859081414,1.0708912444220988
469,Heung-Min Son,66,6,6.206454841781816,6.4202757130000006,0.09403719457245176,0.09090909090909091,-0.20645484178181572,2.371248034310212
470,Achraf Lazaar,29,1,1.2105894225542406,0.5850540001,0.04174446284669795,0.034482758620689655,-0.21058942255424062,1.077058038074931
471,Íñigo Martínez Berridi,26,1,1.211900143313442,1.4368841474,0.04661154397359392,0.038461538461538464,-0.21190014331344198,1.0749007426231423
472,Marcelo Brozović,68,4,4.21678663188921,4.3104167250000005,0.062011568116017796,0.058823529411764705,-0.2167866318892102,1.9887928701690125
473,Pablo Daniel Piatti,20,2,2.2191835123048342,2.270453072,0.11095917561524171,0.1,-0.21918351230483424,1.4046155129573905
474,Wayne Mark Rooney,79,8,8.226409979519834,6.8867210597,0.10413177189265613,0.10126582278481013,-0.22640997951983444,2.714733749750978
475,Ashley Westwood,38,2,2.2280857539250167,2.097580091,0.0586338356296057,0.05263157894736842,-0.22808575392501673,1.4482556887720865
476,João Filipe Iria Santos Moutinho,25,1,1.2296289246397216,1.002935442,0.04918515698558887,0.04,-0.22962892463972162,1.0812721363964282
477,Jonathas Cristian de Jesus,92,14,14.23300626861093,12.9961727255,0.15470658987620575,0.15217391304347827,-0.23300626861093043,3.4685827660742756
478,Thomas Touré,29,2,2.241744301676822,2.0883808305,0.07730152764402834,0.06896551724137931,-0.24174430167682193,1.4382120992989553
